start,duration,value
2023-07-30T14:37:00+02:00,"[60,60]","[1.86,0.08]"
2023-07-28T17:23:00+02:00,[60],[1.69]
2023-07-28T22:11:00+02:00,[60],[1.6]
2023-07-28T22:35:00+02:00,[60],[1.19]
2023-07-28T23:45:00+02:00,"[60,60]","[3.54,0.25]"
2023-07-29T00:03:00+02:00,[60],[2.02]
2023-07-29T00:06:00+02:00,"[60,60,60,60]","[1.35,3.8,3.21,0.43]"
2023-07-29T00:15:00+02:00,"[60,60]","[2.95,5.74]"
2023-07-28T14:13:00+02:00,[60],[1.09]
2023-07-28T14:22:00+02:00,[60],[0.42]
2023-07-28T15:05:00+02:00,"[60,60]","[7.43,4.05]"
2023-07-28T15:47:00+02:00,[60],[1.01]
2023-07-28T15:58:00+02:00,[60],[12.58]
2023-07-28T17:09:00+02:00,[60],[0.67]
