start,duration,value
2023-07-29T17:29:14+02:00,[29],[1]
2023-07-29T17:30:18+02:00,[55],[1]
2023-07-29T17:35:40+02:00,[36],[0]
2023-07-29T17:45:53+02:00,[49],[1]
2023-07-29T17:55:49+02:00,[45],[0]
2023-07-29T18:55:58+02:00,[54],[1]
2023-07-29T19:05:40+02:00,[36],[1]
2023-07-29T19:15:40+02:00,[37],[1]
2023-07-29T19:25:56+02:00,[53],[1]
2023-07-29T19:36:00+02:00,[57],[1]
2023-07-29T23:16:02+02:00,[58],[1]
2023-07-29T23:25:34+02:00,[30],[0]
2023-07-29T23:35:57+02:00,[54],[1]
2023-07-29T23:45:54+02:00,[51],[1]
2023-07-29T23:55:39+02:00,[35],[1]
2023-07-30T00:05:40+02:00,[36],[1]
2023-07-30T00:16:42+02:00,[98],[1]
2023-07-30T00:25:44+02:00,[40],[1]
2023-07-30T00:35:41+02:00,[37],[1]
2023-07-30T00:53:43+02:00,[38],[1]
2023-07-30T00:55:41+02:00,[36],[1]
2023-07-30T01:05:39+02:00,[35],[1]
2023-07-30T01:15:40+02:00,[37],[1]
2023-07-30T01:25:40+02:00,[36],[1]
2023-07-30T01:35:40+02:00,[36],[1]
2023-07-30T01:45:41+02:00,[37],[1]
2023-07-30T01:55:39+02:00,[35],[1]
2023-07-30T02:05:42+02:00,[38],[1]
2023-07-30T02:15:59+02:00,[55],[1]
2023-07-30T02:25:41+02:00,[37],[1]
2023-07-30T02:35:40+02:00,[36],[1]
2023-07-30T02:45:40+02:00,[36],[1]
2023-07-30T02:55:41+02:00,[38],[1]
2023-07-30T03:05:47+02:00,[44],[1]
2023-07-30T03:15:42+02:00,[39],[1]
2023-07-30T03:25:42+02:00,[38],[1]
2023-07-30T03:35:42+02:00,[37],[1]
2023-07-30T03:45:43+02:00,[38],[1]
2023-07-30T03:55:41+02:00,[37],[1]
2023-07-30T04:05:39+02:00,[35],[1]
2023-07-30T04:16:29+02:00,[85],[1]
2023-07-30T04:25:40+02:00,[36],[1]
2023-07-30T04:35:41+02:00,[37],[1]
2023-07-30T04:45:40+02:00,[36],[1]
2023-07-30T04:55:43+02:00,[40],[1]
2023-07-30T05:05:39+02:00,[36],[1]
2023-07-30T05:15:40+02:00,[37],[1]
2023-07-30T05:25:40+02:00,[36],[1]
2023-07-30T05:45:46+02:00,[42],[1]
2023-07-30T05:55:41+02:00,[37],[1]
2023-07-30T06:05:44+02:00,[40],[1]
2023-07-30T06:16:43+02:00,[100],[1]
2023-07-30T06:25:39+02:00,[36],[1]
2023-07-30T06:35:40+02:00,[36],[1]
2023-07-30T06:45:40+02:00,[36],[1]
2023-07-30T06:55:47+02:00,[43],[1]
2023-07-30T07:05:53+02:00,[49],[1]
2023-07-30T07:15:44+02:00,[41],[1]
2023-07-30T07:25:41+02:00,[37],[1]
2023-07-30T07:36:28+02:00,[84],[1]
2023-07-30T07:45:47+02:00,[43],[1]
2023-07-30T07:56:20+02:00,[75],[1]
2023-07-30T08:05:41+02:00,[36],[1]
2023-07-30T08:15:40+02:00,[36],[1]
2023-07-30T08:25:42+02:00,[38],[1]
2023-07-30T08:35:47+02:00,[43],[1]
2023-07-30T08:46:29+02:00,[85],[1]
2023-07-30T09:05:44+02:00,[39],[1]
2023-07-30T09:16:21+02:00,[44],[1]
2023-07-30T09:25:37+02:00,[42],[1]
2023-07-30T09:35:33+02:00,[38],[1]
2023-07-30T09:45:55+02:00,[60],[1]
2023-07-30T09:55:39+02:00,[44],[1]
2023-07-30T10:06:08+02:00,[63],[0]
2023-07-30T10:16:15+02:00,[71],[1]
2023-07-30T10:25:41+02:00,[38],[1]
2023-07-30T10:35:40+02:00,[36],[1]
2023-07-30T10:45:41+02:00,[37],[1]
2023-07-30T10:55:36+02:00,[38],[1]
2023-07-30T11:05:32+02:00,[36],[1]
2023-07-30T11:15:31+02:00,[35],[1]
2023-07-30T11:25:40+02:00,[45],[1]
2023-07-30T11:35:42+02:00,[47],[1]
2023-07-30T11:45:40+02:00,[45],[1]
2023-07-30T12:05:41+02:00,[46],[1]
2023-07-30T12:15:30+02:00,[35],[1]
2023-07-30T12:25:32+02:00,[37],[1]
2023-07-30T12:45:48+02:00,[53],[1]
2023-07-30T13:15:43+02:00,[39],[1]
2023-07-30T13:26:15+02:00,[71],[0]
2023-07-30T13:35:54+02:00,[49],[0]
2023-07-30T14:05:56+02:00,[52],[1]
2023-07-30T14:15:31+02:00,[36],[1]
2023-07-30T14:26:07+02:00,[63],[1]
2023-07-30T14:36:05+02:00,[61],[1]
2023-07-30T14:45:31+02:00,[36],[1]
2023-07-28T17:15:51+02:00,[47],[1]
2023-07-28T17:46:03+02:00,[59],[1]
2023-07-28T17:56:02+02:00,[58],[1]
2023-07-28T19:56:17+02:00,[73],[1]
2023-07-28T20:05:44+02:00,[39],[1]
2023-07-28T20:15:41+02:00,[37],[0]
2023-07-28T20:36:13+02:00,[69],[1]
2023-07-28T20:47:43+02:00,[39],[0]
2023-07-28T21:15:43+02:00,[39],[1]
2023-07-28T21:25:59+02:00,[55],[1]
2023-07-28T21:45:41+02:00,[37],[1]
2023-07-28T21:59:41+02:00,[37],[1]
2023-07-28T22:05:56+02:00,[53],[1]
2023-07-28T22:17:23+02:00,[134],[1]
2023-07-28T22:36:13+02:00,[69],[1]
2023-07-28T22:55:45+02:00,[41],[1]
2023-07-28T23:06:24+02:00,[80],[0]
2023-07-28T23:15:39+02:00,[35],[1]
2023-07-28T23:35:44+02:00,[40],[1]
2023-07-29T00:15:54+02:00,[49],[1]
2023-07-29T00:26:21+02:00,[77],[1]
2023-07-29T00:35:42+02:00,[38],[1]
2023-07-29T00:45:53+02:00,[49],[1]
2023-07-29T00:55:40+02:00,[36],[1]
2023-07-29T01:06:19+02:00,[49],[1]
2023-07-29T01:15:42+02:00,[38],[1]
2023-07-29T01:25:41+02:00,[37],[0]
2023-07-29T01:35:39+02:00,[35],[0]
2023-07-29T01:45:42+02:00,[38],[1]
2023-07-29T01:55:43+02:00,[38],[1]
2023-07-29T02:06:14+02:00,[71],[1]
2023-07-29T02:15:41+02:00,[37],[1]
2023-07-29T02:25:55+02:00,[51],[0]
2023-07-29T02:35:40+02:00,[36],[0]
2023-07-29T02:45:40+02:00,[37],[1]
2023-07-29T02:55:42+02:00,[37],[1]
2023-07-29T03:05:39+02:00,[36],[1]
2023-07-29T03:15:40+02:00,[36],[1]
2023-07-29T03:25:40+02:00,[36],[1]
2023-07-29T03:35:43+02:00,[39],[1]
2023-07-29T03:45:41+02:00,[38],[1]
2023-07-29T03:55:40+02:00,[36],[1]
2023-07-29T04:05:42+02:00,[37],[1]
2023-07-29T04:15:57+02:00,[53],[1]
2023-07-29T04:25:43+02:00,[39],[1]
2023-07-29T04:36:15+02:00,[71],[1]
2023-07-29T04:45:46+02:00,[42],[1]
2023-07-29T04:55:43+02:00,[39],[1]
