start,duration,value
2023-07-29T19:04:58+02:00,[60],[-5]
2023-07-29T19:14:58+02:00,[60],[-4]
2023-07-29T19:24:58+02:00,[16],[-3]
2023-07-29T19:34:58+02:00,[20],[-3]
2023-07-29T19:44:58+02:00,[10],[-3]
2023-07-29T21:34:58+02:00,[60],[-5]
2023-07-29T23:34:58+02:00,[18],[-3]
2023-07-29T23:44:58+02:00,[14],[-3]
2023-07-30T00:14:58+02:00,[11],[-3]
2023-07-30T00:54:59+02:00,[60],[20]
2023-07-30T01:14:58+02:00,[60],[44]
2023-07-30T01:44:58+02:00,[60],[44]
2023-07-30T02:14:58+02:00,[19],[-3]
2023-07-30T02:24:58+02:00,[60],[48]
2023-07-30T02:44:58+02:00,[60],[-4]
2023-07-30T02:54:58+02:00,[60],[-4]
2023-07-30T03:04:58+02:00,[60],[26]
2023-07-30T03:14:58+02:00,[60],[9]
2023-07-30T03:44:59+02:00,[60],[-4]
2023-07-30T03:54:58+02:00,[60],[7]
2023-07-30T04:14:58+02:00,[27],[-3]
2023-07-30T04:24:58+02:00,[60],[19]
2023-07-30T04:44:58+02:00,[60],[-4]
2023-07-30T04:54:58+02:00,[60],[-4]
2023-07-30T05:04:58+02:00,[60],[-4]
2023-07-30T05:14:58+02:00,[60],[35]
2023-07-30T05:44:58+02:00,[60],[29]
2023-07-30T06:14:58+02:00,[40],[-3]
2023-07-30T06:24:58+02:00,[60],[62]
2023-07-30T06:44:58+02:00,[60],[45]
2023-07-30T07:14:58+02:00,[60],[-4]
2023-07-30T07:24:58+02:00,[60],[-4]
2023-07-30T07:34:58+02:00,[37],[-3]
2023-07-30T07:44:58+02:00,[60],[-4]
2023-07-30T07:54:59+02:00,[12],[-3]
2023-07-30T08:04:59+02:00,[60],[48]
2023-07-30T08:14:58+02:00,[60],[17]
2023-07-30T08:44:59+02:00,[42],[-3]
2023-07-30T09:34:50+02:00,[60],[-4]
2023-07-30T09:44:50+02:00,[3],[-3]
2023-07-30T09:54:50+02:00,[60],[-3]
2023-07-30T10:24:58+02:00,[60],[-5]
2023-07-30T10:34:58+02:00,[52],[-3]
2023-07-30T10:54:50+02:00,[60],[-3]
2023-07-30T11:04:50+02:00,[60],[-4]
2023-07-30T11:14:50+02:00,[60],[-4]
2023-07-30T11:24:50+02:00,[60],[20]
2023-07-30T11:44:50+02:00,[60],[52]
2023-07-30T12:14:50+02:00,[55],[-3]
2023-07-30T12:24:50+02:00,[60],[54]
2023-07-30T14:04:58+02:00,[10],[-3]
2023-07-30T14:14:50+02:00,[52],[-3]
2023-07-30T14:24:58+02:00,[27],[-3]
2023-07-30T14:34:58+02:00,[10],[-3]
2023-07-28T16:45:00+02:00,[10],[-3]
2023-07-28T22:04:58+02:00,[15],[-3]
2023-07-29T02:04:58+02:00,[21],[-3]
2023-07-29T02:44:58+02:00,[60],[-4]
2023-07-29T02:54:59+02:00,[60],[-4]
2023-07-29T03:04:58+02:00,[60],[7]
2023-07-29T03:24:58+02:00,[60],[38]
2023-07-29T03:44:58+02:00,[60],[20]
2023-07-29T04:14:58+02:00,[17],[-3]
2023-07-29T04:24:58+02:00,[60],[-5]
2023-07-29T04:34:58+02:00,[33],[-3]
2023-07-29T04:44:58+02:00,[60],[51]
