start,duration,value
2023-07-29T15:10:00+02:00,[60],[1.21]
2023-07-29T16:41:00+02:00,"[60,60,60]","[1.47,1.88,1]"
2023-07-29T16:45:00+02:00,"[60,60]","[1.84,1.32]"
2023-07-29T16:50:00+02:00,[60],[1]
2023-07-29T16:52:00+02:00,"[60,60,60,60,60]","[1,1,1.23,1.62,1.62]"
2023-07-29T17:01:00+02:00,"[60,60,60]","[1.36,1.28,1]"
2023-07-29T17:20:00+02:00,"[60,60]","[1.38,1.22]"
2023-07-29T16:57:00+02:00,[32],[1]
2023-07-29T18:33:56+02:00,[3],[1]
2023-07-29T18:34:00+02:00,[56],[1]
2023-07-29T18:49:00+02:00,[49],[1]
2023-07-29T19:49:00+02:00,"[60,60,22]","[1,1,1]"
2023-07-29T19:52:19+02:00,[40],[1]
2023-07-29T19:53:00+02:00,"[60,60,60,60,60,60,45]","[1,1,1,1,1,1,1]"
2023-07-29T20:01:14+02:00,[34],[1]
2023-07-29T20:49:49+02:00,[10],[1]
2023-07-29T20:50:00+02:00,[49],[1]
2023-07-29T21:03:49+02:00,[10],[1]
2023-07-29T21:04:00+02:00,"[60,9]","[1,1]"
2023-07-29T21:09:29+02:00,[30],[1]
2023-07-29T21:10:00+02:00,"[60,60,60,60,45]","[1,1,1,1,1]"
2023-07-29T21:15:27+02:00,[32],[1]
2023-07-29T21:16:00+02:00,"[60,60,60,23]","[1,1,1,1]"
2023-07-29T21:20:25+02:00,[34],[1]
2023-07-29T21:21:00+02:00,"[60,60,29]","[1,1,1]"
2023-07-29T21:25:21+02:00,[38],[1]
2023-07-29T21:26:00+02:00,"[60,60,60,60,50]","[1,1,1,1,1]"
2023-07-29T18:47:00+02:00,"[61,59]","[1.72,1.27]"
2023-07-29T19:48:00+02:00,[60],[1.83]
2023-07-29T21:51:09+02:00,[50],[1]
2023-07-29T21:52:00+02:00,[9],[1]
2023-07-29T22:50:29+02:00,[30],[1]
2023-07-29T22:51:00+02:00,[29],[1]
2023-07-29T23:06:00+02:00,"[60,60]","[1.27,2.861]"
2023-07-29T23:48:00+02:00,"[60,60,60]","[2.35,1.64,1.19]"
2023-07-29T23:53:00+02:00,[60],[1.16]
2023-07-30T00:00:00+02:00,[60],[1.41]
2023-07-30T00:02:00+02:00,"[60,60]","[1.45,1.11]"
2023-07-30T00:16:00+02:00,"[60,60,60,60]","[1.59,1.22,1.3,1.88]"
2023-07-30T00:23:00+02:00,[60],[1.14]
2023-07-30T00:32:00+02:00,[60],[1.181]
2023-07-30T08:55:00+02:00,[60],[1.729]
2023-07-30T09:24:00+02:00,[60],[1.153]
2023-07-30T10:09:00+02:00,[60],[1.2]
2023-07-30T11:49:00+02:00,"[60,60]","[1.81,1.28]"
2023-07-30T12:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.62,2.19,2.591,2.04,3.1,2.8,1.4,2.05,3.19,2.58,1.71,1.26,1.23]"
2023-07-30T12:47:00+02:00,[60],[1.44]
2023-07-30T12:52:00+02:00,"[60,60]","[1,1.49]"
2023-07-30T13:07:00+02:00,"[60,60,60,60]","[1.6,1,1,1]"
2023-07-30T13:37:20+02:00,[39],[1]
2023-07-30T13:38:00+02:00,[20],[1]
2023-07-30T14:00:53+02:00,[6],[1]
