start,duration,value
2023-07-29T15:10:00+02:00,[60],"[125.56,125.56]"
2023-07-29T16:41:00+02:00,"[60,60,60]","[151.91,141.02,140.87,151.91,141.02,140.87]"
2023-07-29T16:45:00+02:00,"[60,60]","[144.94,140.39,144.94,140.39]"
2023-07-29T16:50:00+02:00,[60],"[135.75,135.75]"
2023-07-29T16:52:00+02:00,"[60,60,60,60,60]","[135.75,135.11,145.51,132.04,130.13,135.75,135.11,145.51,132.04,130.13]"
2023-07-29T17:01:00+02:00,"[60,60,60]","[131.43,135.91,141.51,131.43,135.91,141.51]"
2023-07-29T17:20:00+02:00,"[60,60]","[130.12,130.13,130.12,130.13]"
2023-07-29T16:57:00+02:00,[32],"[0,0]"
2023-07-29T18:33:56+02:00,[3],"[0,0]"
2023-07-29T18:34:00+02:00,[56],"[0,0]"
2023-07-29T18:49:00+02:00,[49],"[0,0]"
2023-07-29T19:49:00+02:00,"[60,60,22]","[0,0,0,0,0,0]"
2023-07-29T19:52:19+02:00,[40],"[0,0]"
2023-07-29T19:53:00+02:00,"[60,60,60,60,60,60,45]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2023-07-29T20:01:14+02:00,[34],"[0,0]"
2023-07-29T20:49:49+02:00,[10],"[0,0]"
2023-07-29T20:50:00+02:00,[49],"[0,0]"
2023-07-29T21:03:49+02:00,[10],"[0,0]"
2023-07-29T21:04:00+02:00,"[60,9]","[0,0,0,0]"
2023-07-29T21:09:29+02:00,[30],"[0,0]"
2023-07-29T21:10:00+02:00,"[60,60,60,60,45]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T21:15:27+02:00,[32],"[0,0]"
2023-07-29T21:16:00+02:00,"[60,60,60,23]","[0,0,0,0,0,0,0,0]"
2023-07-29T21:20:25+02:00,[34],"[0,0]"
2023-07-29T21:21:00+02:00,"[60,60,29]","[0,0,0,0,0,0]"
2023-07-29T21:25:21+02:00,[38],"[0,0]"
2023-07-29T21:26:00+02:00,"[60,60,60,60,50]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T18:47:00+02:00,"[61,59]","[141.02,135.91,141.02,135.91]"
2023-07-29T19:48:00+02:00,[60],"[150.61,150.61]"
2023-07-29T21:51:09+02:00,[50],"[0,0]"
2023-07-29T21:52:00+02:00,[9],"[0,0]"
2023-07-29T22:50:29+02:00,[30],"[0,0]"
2023-07-29T22:51:00+02:00,[29],"[0,0]"
2023-07-29T23:06:00+02:00,"[60,60]","[135.88,152.12,135.88,152.12]"
2023-07-29T23:48:00+02:00,"[60,60,60]","[146.85,137.79,131.33,146.85,137.79,131.33]"
2023-07-29T23:53:00+02:00,[60],"[126.81,126.81]"
2023-07-30T00:00:00+02:00,[60],"[132.66,132.66]"
2023-07-30T00:02:00+02:00,"[60,60]","[132.03,132.06,132.03,132.06]"
2023-07-30T00:16:00+02:00,"[60,60,60,60]","[134.58,142.86,141.02,151.91,134.58,142.86,141.02,151.91]"
2023-07-30T00:23:00+02:00,[60],"[124.3,124.3]"
2023-07-30T00:32:00+02:00,[60],"[131.34,131.34]"
2023-07-30T08:55:00+02:00,[60],"[141.65,141.65]"
2023-07-30T09:24:00+02:00,[60],"[124.25,124.25]"
2023-07-30T10:09:00+02:00,[60],"[126.2,126.2]"
2023-07-30T11:49:00+02:00,"[60,60]","[145.56,126.25,145.56,126.25]"
2023-07-30T12:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[150.62,152.61,150.69,141.09,151.48,156.45,156.95,152.61,155.32,155.89,146.14,136.54,140.38,150.62,152.61,150.69,141.09,151.48,156.45,156.95,152.61,155.32,155.89,146.14,136.54,140.38]"
2023-07-30T12:47:00+02:00,[60],"[145.51,145.51]"
2023-07-30T12:52:00+02:00,"[60,60]","[141.51,136.54,141.51,136.54]"
2023-07-30T13:07:00+02:00,"[60,60,60,60]","[141.67,139.59,136.39,135.11,141.67,139.59,136.39,135.11]"
2023-07-30T13:37:20+02:00,[39],"[0,0]"
2023-07-30T13:38:00+02:00,[20],"[0,0]"
2023-07-30T14:00:53+02:00,[6],"[0,0]"
2023-07-30T14:01:00+02:00,[53],"[0,0]"
2023-07-30T14:03:00+02:00,[44],"[0,0]"
2023-07-30T14:02:00+02:00,[60],"[140.94,140.94]"
2023-07-30T14:20:00+02:00,[60],"[126.91,126.91]"
2023-07-30T14:32:00+02:00,[60],"[142.3,142.3]"
2023-07-30T14:35:00+02:00,[60],"[134.61,134.61]"
2023-07-30T14:37:00+02:00,"[60,60,60,60,60]","[145.51,136.53,130.71,130.15,132.69,145.51,136.53,130.71,130.15,132.69]"
2023-07-28T16:45:00+02:00,[60],"[140.31,140.31]"
2023-07-28T16:47:00+02:00,"[60,60]","[139.75,145.51,139.75,145.51]"
2023-07-28T16:54:00+02:00,"[60,60]","[139.67,129.41,139.67,129.41]"
2023-07-28T16:58:00+02:00,"[60,60,60,60]","[135.83,140.87,135.75,134.47,135.83,140.87,135.75,134.47]"
2023-07-28T17:04:00+02:00,[60],"[146.79,146.79]"
2023-07-28T17:08:00+02:00,"[60,60]","[135.91,141.66,135.91,141.66]"
