start,duration,value
2023-07-29T15:10:00+02:00,[60],[0.22]
2023-07-29T16:41:00+02:00,"[60,60,60]","[0.5,0.99,0]"
2023-07-29T16:45:00+02:00,"[60,60]","[0.87,0.35]"
2023-07-29T16:50:00+02:00,[60],[0]
2023-07-29T16:52:00+02:00,"[60,60,60,60,60]","[0,0,0.25,0.65,0.63]"
2023-07-29T17:01:00+02:00,"[60,60,60]","[0.38,0.29,0]"
2023-07-29T17:20:00+02:00,"[60,60]","[0.39,0.25]"
2023-07-29T16:57:00+02:00,[32],[1.052]
2023-07-29T18:33:56+02:00,[3],[0.106]
2023-07-29T18:34:00+02:00,[56],[1.863]
2023-07-29T18:49:00+02:00,[49],[1.616]
2023-07-29T19:49:00+02:00,"[60,60,22]","[1.969,1.969,0.734]"
2023-07-29T19:52:19+02:00,[40],[1.34]
2023-07-29T19:53:00+02:00,"[60,60,60,60,60,60,45]","[1.969,1.969,1.97,1.97,1.97,1.969,1.483]"
2023-07-29T20:01:14+02:00,[34],[1.136]
2023-07-29T20:49:49+02:00,[10],[0.329]
2023-07-29T20:50:00+02:00,[49],[1.64]
2023-07-29T21:03:49+02:00,[10],[0.359]
2023-07-29T21:04:00+02:00,"[60,9]","[1.969,0.298]"
2023-07-29T21:09:29+02:00,[30],[0.996]
2023-07-29T21:10:00+02:00,"[60,60,60,60,45]","[1.969,1.969,1.969,1.97,1.507]"
2023-07-29T21:15:27+02:00,[32],[1.054]
2023-07-29T21:16:00+02:00,"[60,60,60,23]","[1.969,1.969,1.969,0.784]"
2023-07-29T21:20:25+02:00,[34],[1.126]
2023-07-29T21:21:00+02:00,"[60,60,29]","[1.969,1.969,0.978]"
2023-07-29T21:25:21+02:00,[38],[1.266]
2023-07-29T21:26:00+02:00,"[60,60,60,60,50]","[1.969,1.969,1.97,1.969,1.667]"
2023-07-29T18:47:00+02:00,"[61,59]","[0.76,0.3]"
2023-07-29T19:48:00+02:00,[60],[0.88]
2023-07-29T21:51:09+02:00,[50],[1.673]
2023-07-29T21:52:00+02:00,[9],[0.296]
2023-07-29T22:50:29+02:00,[30],[0.987]
2023-07-29T22:51:00+02:00,[29],[0.982]
2023-07-29T23:06:00+02:00,"[60,60]","[0.31,1.82]"
2023-07-29T23:48:00+02:00,"[60,60,60]","[1.45,0.64,0.23]"
2023-07-29T23:53:00+02:00,[60],[0.18]
2023-07-30T00:00:00+02:00,[60],[0.42]
2023-07-30T00:02:00+02:00,"[60,60]","[0.5,0.1]"
2023-07-30T00:16:00+02:00,"[60,60,60,60]","[0.57,0.26,0.32,0.99]"
2023-07-30T00:23:00+02:00,[60],[0.16]
2023-07-30T00:32:00+02:00,[60],[0.21]
2023-07-30T08:55:00+02:00,[60],[0.939]
2023-07-30T09:24:00+02:00,[60],[0.197]
2023-07-30T10:09:00+02:00,[60],[0.21]
2023-07-30T11:49:00+02:00,"[60,60]","[0.83,0.31]"
2023-07-30T12:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.67,1.17,1.69,1.09,2.15,1.9,0.48,1.06,2.22,1.64,0.77,0.23,0.25]"
2023-07-30T12:47:00+02:00,[60],[0.46]
2023-07-30T12:52:00+02:00,"[60,60]","[0,0.48]"
2023-07-30T13:07:00+02:00,"[60,60,60,60]","[0.65,0,0,0]"
2023-07-30T13:37:20+02:00,[39],[1.287]
2023-07-30T13:38:00+02:00,[20],[0.682]
2023-07-30T14:00:53+02:00,[6],[0.199]
2023-07-30T14:01:00+02:00,[53],[1.771]
2023-07-30T14:03:00+02:00,[44],[1.473]
2023-07-30T14:02:00+02:00,[60],[0.24]
2023-07-30T14:20:00+02:00,[60],[0.31]
2023-07-30T14:32:00+02:00,[60],[0.74]
2023-07-30T14:35:00+02:00,[60],[0.21]
2023-07-30T14:37:00+02:00,"[60,60,60,60,60]","[0.56,0.34,0.21,0.33,0.34]"
2023-07-30T00:50:00+02:00,"[120,180,1140,720,2280]","[0,0,0,0,0]"
2023-07-30T02:04:00+02:00,"[2760,1080,480,600,720,240,660,780,660]","[0,0,0,0,0,0,0,0,0]"
2023-07-30T04:17:00+02:00,"[3120,300,720,3000,780,1920]","[0,0,0,0,0,0]"
2023-07-30T07:01:00+02:00,"[1320,840,2760,660,1140,60]","[0,0,0,0,0,0]"
2023-07-28T16:45:00+02:00,[60],[0.22]
2023-07-28T16:47:00+02:00,"[60,60]","[0.54,0.36]"
2023-07-28T16:54:00+02:00,"[60,60]","[0.3,0.06]"
2023-07-28T16:58:00+02:00,"[60,60,60,60]","[0.29,0,0,0]"
2023-07-28T17:04:00+02:00,[60],[0.31]
2023-07-28T17:08:00+02:00,"[60,60]","[0.56,0.62]"
2023-07-28T17:11:00+02:00,"[60,60,60,60,60]","[0,0,0.26,0.31,0.24]"
2023-07-28T17:18:00+02:00,[60],[0.197]
2023-07-28T17:23:00+02:00,"[60,60]","[0.75,0]"
2023-07-28T17:26:00+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0.24,0,0,0,0.24,0,0.29]"
2023-07-28T17:40:00+02:00,"[60,60,60]","[0.21,0.38,0.51]"
2023-07-28T18:03:00+02:00,"[60,60]","[1.1,0.53]"
2023-07-28T17:10:12+02:00,[47],[1.545]
2023-07-28T18:01:53+02:00,[6],[0.228]
2023-07-28T18:02:00+02:00,[53],[1.742]
2023-07-28T18:05:00+02:00,"[60,60,60,60,60,30]","[1.969,1.969,1.969,1.969,1.969,1.014]"
2023-07-28T18:12:24+02:00,[35],[1.174]
2023-07-28T18:13:00+02:00,"[60,60,54]","[1.969,1.969,1.797]"
2023-07-28T18:19:32+02:00,[27],[0.919]
2023-07-28T18:20:00+02:00,"[60,26]","[1.969,0.876]"
2023-07-28T18:24:30+02:00,[29],[0.977]
2023-07-28T18:25:00+02:00,[54],[1.78]
2023-07-28T18:26:17+02:00,[42],[1.398]
2023-07-28T18:27:00+02:00,[10],[0.343]
2023-07-28T18:28:43+02:00,[16],[0.539]
2023-07-28T18:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,54]","[1.969,1.969,1.969,1.969,1.969,1.969,1.969,1.969,1.969,1.969,1.969,1.774]"
2023-07-28T19:44:17+02:00,[42],[1.379]
2023-07-28T19:45:00+02:00,[17],[0.59]
2023-07-28T21:13:00+02:00,[60],[1.969]
2023-07-28T19:49:00+02:00,[60],[0.36]
2023-07-28T19:51:00+02:00,"[60,61,59,60]","[2.69,0.64,0.31,0.27]"
2023-07-28T20:00:00+02:00,[60],[0.18]
2023-07-28T21:00:00+02:00,[60],[0.22]
2023-07-28T21:07:00+02:00,[60],[0.2]
2023-07-28T21:12:00+02:00,[60],[0.41]
2023-07-28T21:14:00+02:00,"[60,60,60,60]","[0,2.83,3.66,0.98]"
2023-07-28T21:18:00+02:00,[60],[0]
