start,duration,value
2023-07-29T15:10:00+02:00,[60],[5.89]
2023-07-29T16:41:00+02:00,"[60,60,60]","[13.11,25.65,0]"
2023-07-29T16:45:00+02:00,"[60,60]","[22.59,9.11]"
2023-07-29T16:50:00+02:00,[60],[0]
2023-07-29T16:52:00+02:00,"[60,60,60,60,60]","[0,0,6.71,17.05,16.42]"
2023-07-29T17:01:00+02:00,"[60,60,60]","[9.89,7.73,0]"
2023-07-29T17:20:00+02:00,"[60,60]","[10.13,6.49]"
2023-07-29T16:57:00+02:00,[32],[6.105]
2023-07-29T18:33:56+02:00,[3],[0.764]
2023-07-29T18:34:00+02:00,[56],[15.263]
2023-07-29T18:49:00+02:00,[49],[8.395]
2023-07-29T19:49:00+02:00,"[60,60,22]","[22.894,22.894,8.395]"
2023-07-29T19:52:19+02:00,[40],[15.263]
2023-07-29T19:53:00+02:00,"[60,60,60,60,60,60,45]","[22.894,33.578,108.901,102.308,73.26,32.815,23.657]"
2023-07-29T20:01:14+02:00,[34],[9.158]
2023-07-29T20:49:49+02:00,[10],[3.053]
2023-07-29T20:50:00+02:00,[49],[14.5]
2023-07-29T21:03:49+02:00,[10],[3.816]
2023-07-29T21:04:00+02:00,"[60,9]","[23.657,7.632]"
2023-07-29T21:09:29+02:00,[30],[11.447]
2023-07-29T21:10:00+02:00,"[60,60,60,60,45]","[22.894,45.024,57.997,82.292,62.122]"
2023-07-29T21:15:27+02:00,[32],[12.21]
2023-07-29T21:16:00+02:00,"[60,60,60,23]","[22.894,22.894,22.894,9.158]"
2023-07-29T21:20:25+02:00,[34],[12.973]
2023-07-29T21:21:00+02:00,"[60,60,29]","[32.815,64.102,38.498]"
2023-07-29T21:25:21+02:00,[38],[7.632]
2023-07-29T21:26:00+02:00,"[60,60,60,60,50]","[21.368,61.813,76.568,35.867,19.078]"
2023-07-29T18:47:00+02:00,"[61,59]","[19.69,7.92]"
2023-07-29T19:48:00+02:00,[60],[22.87]
2023-07-29T21:51:09+02:00,[50],[16.789]
2023-07-29T21:52:00+02:00,[9],[3.053]
2023-07-29T22:50:29+02:00,[30],[8.395]
2023-07-29T22:51:00+02:00,[29],[8.395]
2023-07-29T23:06:00+02:00,"[60,60]","[8.2,47.12]"
2023-07-29T23:48:00+02:00,"[60,60,60]","[37.56,16.6,5.97]"
2023-07-29T23:53:00+02:00,[60],[4.81]
2023-07-30T00:00:00+02:00,[60],[10.99]
