start,duration,value
2023-07-30T00:50:00+02:00,"[120,180,1140,720,2280,2760,1080,480,600,720,240]","[0,1,2,1,2,1,2,1,2,1,2]"
2023-07-30T03:42:00+02:00,"[660,780,660,3120,300,720,3000,780]","[1,1,2,1,2,1,2,1]"
2023-07-30T06:29:00+02:00,"[1920,1320,840,2760,660,1140,60]","[2,1,2,1,2,1,0]"
2023-07-29T02:40:00+02:00,"[120,1140,660,180,600,2460,300,840,1440]","[0,1,2,0,1,2,1,2,1]"
2023-07-29T04:49:00+02:00,"[3660,2400,1380,2280,600,180]","[2,1,1,2,0,1]"
2023-07-29T07:44:00+02:00,"[1260,240,300,60,1080,1560,480,1080,300,1200,1920,1080]","[2,1,0,0,1,1,2,1,2,1,2,1]"
2023-07-29T10:40:00+02:00,"[420,2100,420,1680,2460,2280,240,240,60]","[2,1,2,1,2,1,2,1,0]"
2023-07-28T02:28:00+02:00,"[120,720,540,2040,300,1200,480,720,2940]","[0,1,2,1,2,1,2,1,2]"
2023-07-28T04:59:00+02:00,[3000],[1]
2023-07-28T05:55:00+02:00,"[2220,60]","[1,0]"
