start,duration,value
2023-07-29T15:10:00+02:00,[60],[7]
2023-07-29T16:41:00+02:00,"[60,60,60]","[16,30,0]"
2023-07-29T16:45:00+02:00,"[60,60]","[27,11]"
2023-07-29T16:50:00+02:00,[60],[0]
2023-07-29T16:52:00+02:00,"[60,60,60,60,60]","[0,0,9,22,20]"
2023-07-29T17:01:00+02:00,"[60,60,60]","[12,10,0]"
2023-07-29T17:20:00+02:00,"[60,60]","[13,8]"
2023-07-29T16:57:00+02:00,[32],[8]
2023-07-29T18:33:56+02:00,[3],[1]
2023-07-29T18:34:00+02:00,[56],[20]
2023-07-29T18:49:00+02:00,[49],[11]
2023-07-29T19:49:00+02:00,"[60,60,22]","[30,30,11]"
2023-07-29T19:52:19+02:00,[40],[20]
2023-07-29T19:53:00+02:00,"[60,60,60,60,60,60,45]","[30,44,121,117,96,43,31]"
2023-07-29T20:01:14+02:00,[34],[12]
2023-07-29T20:49:49+02:00,[10],[4]
2023-07-29T20:50:00+02:00,[49],[19]
2023-07-29T21:03:49+02:00,[10],[5]
2023-07-29T21:04:00+02:00,"[60,9]","[31,10]"
2023-07-29T21:09:29+02:00,[30],[15]
2023-07-29T21:10:00+02:00,"[60,60,60,60,45]","[30,59,76,104,79]"
2023-07-29T21:15:27+02:00,[32],[16]
2023-07-29T21:16:00+02:00,"[60,60,60,23]","[30,30,30,12]"
2023-07-29T21:20:25+02:00,[34],[17]
2023-07-29T21:21:00+02:00,"[60,60,29]","[43,84,50]"
2023-07-29T21:25:21+02:00,[38],[10]
2023-07-29T21:26:00+02:00,"[60,60,60,60,50]","[28,81,100,47,25]"
2023-07-29T18:47:00+02:00,"[61,59]","[24,9]"
2023-07-29T19:48:00+02:00,[60],[28]
2023-07-29T21:51:09+02:00,[50],[22]
2023-07-29T21:52:00+02:00,[9],[4]
2023-07-29T22:50:29+02:00,[30],[11]
2023-07-29T22:51:00+02:00,[29],[11]
2023-07-29T23:06:00+02:00,"[60,60]","[9,58]"
2023-07-29T23:48:00+02:00,"[60,60,60]","[45,20,8]"
2023-07-29T23:53:00+02:00,[60],[6]
2023-07-30T00:00:00+02:00,[60],[14]
2023-07-30T00:02:00+02:00,"[60,60]","[15,3]"
2023-07-30T00:16:00+02:00,"[60,60,60,60]","[20,8,10,31]"
2023-07-30T00:23:00+02:00,[60],[6]
2023-07-30T00:32:00+02:00,[60],[7]
2023-07-30T08:55:00+02:00,[60],[29]
2023-07-30T09:24:00+02:00,[60],[6]
2023-07-30T10:09:00+02:00,[60],[7]
2023-07-30T11:49:00+02:00,"[60,60]","[26,10]"
2023-07-30T12:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[23,38,51,35,68,56,16,34,69,53,25,8,9]"
2023-07-30T12:47:00+02:00,[60],[15]
2023-07-30T12:52:00+02:00,"[60,60]","[0,16]"
2023-07-30T13:07:00+02:00,"[60,60,60,60]","[22,0,0,0]"
2023-07-30T13:37:20+02:00,[39],[7]
2023-07-30T13:38:00+02:00,[20],[3]
2023-07-30T14:00:53+02:00,[6],[2]
2023-07-30T14:01:00+02:00,[53],[20]
2023-07-30T14:03:00+02:00,[44],[13]
2023-07-30T14:02:00+02:00,[60],[8]
2023-07-30T14:20:00+02:00,[60],[10]
2023-07-30T14:32:00+02:00,[60],[23]
2023-07-30T14:35:00+02:00,[60],[8]
2023-07-30T14:37:00+02:00,"[60,60,60,60,60]","[13,9,8,11,12]"
2023-07-28T16:45:00+02:00,[60],[7]
2023-07-28T16:47:00+02:00,"[60,60]","[17,11]"
2023-07-28T16:54:00+02:00,"[60,60]","[9,2]"
